Station;SurveyID;KPPID;SurveyName;SurveyName1;Latitude;Longitude;Trail;HabitatID;Habitat;BiomeID;Biome;Elevation;DisturbanceIndex;LivestockIndex;MSAVI2;Nights;NightsPool;SmallPreyIndex;PreyIndex
153;2;ssu085;Koup;KoupNorth;-32.93409;21.21425;off-trail;3;riverine;1;NamaKaroo;1009;0;7.69;0.1751;91;15;26.92;103.5
154;2;ssu086;Koup;KoupNorth;-32.93393;21.2351;off-trail;4;kloof;1;NamaKaroo;976;0;0;0.1672;91;15;2.42;103.5
155;2;ssu087;Koup;KoupNorth;-32.93371;21.25818;off-trail;4;kloof;1;NamaKaroo;966;0;24.75;0.1735;101;16;0;227.7
156;2;ssu088;Koup;KoupNorth;-33.02443;21.23561;off-trail;1;plain;1;NamaKaroo;791;17.47572816;33.98;0.1855;103;17;2.42;171.3
157;2;ssu089;Koup;KoupNorth;-33.02424;21.25689;trail;3;riverine;1;NamaKaroo;750;1.941747573;0;0.1754;103;17;7.26;141.2
158;2;ssu091;Koup;KoupNorth;-33.02407;21.29926;off-trail;2;mountain;1;NamaKaroo;866;0;0;0.1917;100;16;4.84;43.3
159;2;ssu092;Koup;KoupNorth;-33.02419;21.32114;trail;3;riverine;1;NamaKaroo;722;0;0;0.2109;100;16;0;643.7
160;2;ssu093;Koup;KoupNorth;-33.02401;21.34265;off-trail;1;plain;1;NamaKaroo;732;0;2;0.1827;100;16;0;56.5
161;2;ssu094;Koup;KoupNorth;-33.04304;21.27821;off-trail;1;plain;1;NamaKaroo;750;0;0;0.1771;103;17;41.14;596.7
162;2;ssu096;Koup;KoupNorth;-32.96958;21.44959;off-trail;1;plain;1;NamaKaroo;555;1.123595506;15.73;0.1903;89;14;33.88;404.8
163;2;ssu097;Koup;KoupNorth;-32.96985;21.47086;off-trail;2;mountain;1;NamaKaroo;532;0;23.86;0.2032;88;14;0.207;0
164;2;ssu098;Koup;KoupNorth;-32.96942;21.49223;trail;3;riverine;1;NamaKaroo;530;0;29.21;0.1961;90;15;2.42;94.1
165;2;ssu099;Koup;KoupNorth;-32.91517;21.47065;off-trail;1;plain;1;NamaKaroo;571;0;0;0.187;89;14;24.2;350.2
166;2;ssu100;Koup;KoupNorth;-32.92091;21.19245;off-trail;4;kloof;1;NamaKaroo;1152;0;0;0.1532;92;15;0;0
167;2;ssu104;Koup;KoupNorth;-32.95204;21.34222;off-trail;1;plain;1;NamaKaroo;679;0;0;0.1902;100;16;60.5;1430.4
168;2;ssu107;Koup;KoupNorth;-33.02472;21.21426;off-trail;2;mountain;1;NamaKaroo;937;0;0;0.1629;103;17;9.68;0
169;2;ssu108;Koup;KoupNorth;-33.04222;21.25717;trail;3;riverine;1;NamaKaroo;748;0;23.3;0.1694;103;17;4.84;316.2
170;2;ssu110;Koup;KoupNorth;-33.00537;21.53512;off-trail;1;plain;1;NamaKaroo;519;0;0;0.1892;99;16;19.36;33.9
171;2;ssu111;Koup;KoupNorth;-33.00622;21.2997;trail;3;riverine;1;NamaKaroo;753;0;0;0.1919;65;10;14.52;538.3
172;2;ssu112;Koup;KoupNorth;-33.00602;21.32111;off-trail;1;plain;1;NamaKaroo;740;0;11;0.1763;100;16;2.42;139.3
173;2;ssu113;Koup;KoupNorth;-33.00562;21.3425;trail;3;riverine;1;NamaKaroo;735;0;14;0.1609;100;16;0;109.2
174;2;ssu117;Koup;KoupNorth;-33.00592;21.21458;off-trail;2;mountain;1;NamaKaroo;840;0;1.14;0.1813;88;14;0;280.4
175;2;ssu118;Koup;KoupNorth;-32.93413;21.49239;trail;3;riverine;1;NamaKaroo;539;0;12.5;0.1894;88;14;0;227.7
176;2;ssu119;Koup;KoupNorth;-32.98713;21.5353;trail;1;plain;1;NamaKaroo;532;6.060606061;0;0.1893;99;16;2.42;182.6
177;3;ssu018;Anysberg;AnysEast;-33.46553;20.62349;off-trail;1;plain;3;SucculentKaroo;706;1.639344262;0;0.2417;61;10;2.42;94.1
178;3;ssu019;Anysberg;AnysEast;-33.46602;20.64487;trail;3;riverine;3;SucculentKaroo;693;0;0;0.2611;61;10;0;139.3
179;3;ssu020;Anysberg;AnysEast;-33.46609;20.66632;trail;3;riverine;3;SucculentKaroo;667;0;0;0.2221;61;10;0.069;280.4
180;3;ssu117;Anysberg;AnysEast;-33.46577;20.60191;trail;3;riverine;3;SucculentKaroo;727;1.666666667;0;0.2516;60;10;0;363.2
181;3;ssu099;Anysberg;AnysEast;-33.48383;20.60168;off-trail;1;plain;2;Fynbos;810;0;0;0.2141;60;10;0;41.4
182;3;ssu100;Anysberg;AnysEast;-33.48392;20.62328;off-trail;1;plain;2;Fynbos;786;0;0;0.1966;60;10;14.52;41.4
183;3;ssu101;Anysberg;AnysEast;-33.48391;20.64491;off-trail;1;plain;2;Fynbos;790;0;0;0.188;12;2;0;41.4
184;3;ssu102;Anysberg;AnysEast;-33.48381;20.66647;off-trail;4;kloof;2;Fynbos;744;0;0;0.181;46;7;0;0
185;3;ssu103;Anysberg;AnysEast;-33.48417;20.68777;off-trail;1;plain;2;Fynbos;857;0;0;0.1962;60;10;0;0
186;3;ssu021;Anysberg;AnysEast;-33.46605;20.68791;off-trail;1;plain;3;SucculentKaroo;687;0;0;0.2108;60;10;0;77.2
187;3;ssu111;Anysberg;AnysEast;-33.44786;20.60193;off-trail;1;plain;2;Fynbos;755;0;0;0.1984;59;9;0;0
188;3;ssu031;Anysberg;AnysEast;-33.44804;20.62355;off-trail;1;plain;2;Fynbos;805;0;0;0.2004;59;9;0;20.7
189;3;ssu032;Anysberg;AnysEast;-33.44788;20.64498;off-trail;2;mountain;2;Fynbos;898;0;0;0.2627;59;9;0;0
